Date,VN-INDEX,Change,Total Volume,Total Value,Total Foreigner Buy Volume,Total Foreigner Buy Value,Total Foreigner Sell Volume,Total Foreigner Sell Value
6/3/2025,1347.25,0.008199999999999999,"1,156,455,183","25,725.75 bil","130,484,890","2,919.86 bil","73,242,357","2,011.04 bil"
6/2/2025,1336.3,+3.70(+0.28%),"963,230,642","20,843.81 bil","87,410,013","1,972.89 bil","74,956,950","2,176.11 bil"
5/30/2025,1332.6,-9.26(-0.69%),"984,637,069","22,329.89 bil","79,117,088","2,179.08 bil","113,686,003","3,262.70 bil"
5/29/2025,1341.86,-0.01(0.00%),"926,465,288","20,972.24 bil","104,290,379","2,677.54 bil","89,202,439","2,933.71 bil"
5/28/2025,1341.87,+2.06(+0.15%),"964,462,230","22,416.90 bil","66,677,727","2,103.65 bil","76,404,153","2,301.26 bil"
5/27/2025,1339.81,+7.30(+0.55%),"1,120,862,031","25,027.98 bil","69,866,490","2,272.62 bil","128,220,426","3,378.69 bil"
5/26/2025,1332.51,+18.05(+1.37%),"1,028,135,655","23,179.74 bil","84,567,996","2,246.08 bil","86,148,602","2,280.13 bil"
5/23/2025,1314.46,+0.62(+0.05%),"717,704,039","16,897.62 bil","56,218,952","1,866.07 bil","60,073,927","2,002.76 bil"
5/22/2025,1313.84,-9.21(-0.70%),"1,157,120,154","26,405.22 bil","95,749,551","2,755.72 bil","88,393,171","2,641.39 bil"
5/21/2025,1323.05,+7.90(+0.60%),"1,065,425,610","25,241.19 bil","98,436,161","3,249.81 bil","82,003,088","2,770.08 bil"
5/20/2025,1315.15,+18.86(+1.45%),"952,598,877","22,934.73 bil","86,301,166","2,655.63 bil","92,700,641","3,172.66 bil"
5/19/2025,1296.29,-5.10(-0.39%),"908,542,374","22,391.92 bil","79,797,943","2,579.03 bil","84,255,615","3,140.74 bil"
5/16/2025,1301.39,-11.81(-0.90%),"905,699,978","20,756.18 bil","74,843,418","2,150.55 bil","94,797,125","3,107.34 bil"
5/15/2025,1313.2,+3.47(+0.26%),"1,116,330,449","25,882.90 bil","141,590,351","4,241.69 bil","91,139,321","3,322.68 bil"
5/14/2025,1309.73,+16.30(+1.26%),"1,072,937,152","27,327.83 bil","156,067,097","5,591.90 bil","79,952,319","3,327.13 bil"
5/13/2025,1293.43,+10.17(+0.79%),"952,540,153","23,894.92 bil","122,617,323","4,160.75 bil","90,538,548","3,183.98 bil"
5/12/2025,1283.26,+15.96(+1.26%),"902,868,015","21,642.83 bil","42,273,733","1,705.50 bil","53,935,925","1,999.62 bil"
5/9/2025,1267.3,-2.50(-0.20%),"755,734,575","17,310.88 bil","80,927,494","2,473.81 bil","82,721,452","2,561.99 bil"
5/8/2025,1269.8,+19.43(+1.55%),"806,212,625","19,113.03 bil","96,595,660","2,966.81 bil","85,789,363","2,720.48 bil"
5/7/2025,1250.37,+8.42(+0.68%),"761,913,980","17,198.71 bil","94,317,000","2,543.37 bil","48,906,299","1,638.14 bil"
5/6/2025,1241.95,+1.90(+0.15%),"780,470,840","17,847.27 bil","76,827,864","2,111.44 bil","67,516,426","2,037.82 bil"
5/5/2025,1240.05,+13.75(+1.12%),"605,745,032","14,351.80 bil","66,289,266","2,048.27 bil","51,003,283","1,922.73 bil"
4/29/2025,1226.3,-0.50(-0.04%),"675,957,746","15,534.23 bil","59,317,339","1,772.80 bil","68,916,322","2,026.97 bil"
4/28/2025,1226.8,-2.43(-0.20%),"679,789,132","14,153.00 bil","65,889,714","1,857.34 bil","58,668,763","1,853.88 bil"
4/25/2025,1229.23,+5.88(+0.48%),"863,018,704","20,350.38 bil","72,203,085","2,287.75 bil","84,913,614","2,878.81 bil"
4/24/2025,1223.35,+12.35(+1.02%),"798,639,130","17,662.51 bil","79,446,013","2,428.63 bil","56,395,317","1,849.57 bil"
4/23/2025,1211.0,+13.87(+1.16%),"855,208,125","18,996.87 bil","69,318,424","2,110.70 bil","71,503,319","2,203.42 bil"
4/22/2025,1197.13,-9.94(-0.82%),"1,702,203,585","34,118.97 bil","147,096,796","3,842.89 bil","128,015,545","3,322.11 bil"
4/21/2025,1207.07,-12.05(-0.99%),"880,862,750","18,641.03 bil","62,342,214","1,783.01 bil","62,443,586","1,610.86 bil"
4/18/2025,1219.12,+1.87(+0.15%),"1,067,201,281","21,567.23 bil","75,923,980","2,229.37 bil","82,119,767","2,221.13 bil"
4/17/2025,1217.25,+6.95(+0.57%),"807,718,847","21,614.42 bil","82,148,743","2,840.36 bil","153,472,857","7,390.40 bil"
4/16/2025,1210.3,-17.49(-1.42%),"818,931,324","19,465.08 bil","74,305,059","2,197.64 bil","69,700,184","2,470.33 bil"
4/15/2025,1227.79,-13.65(-1.10%),"1,069,972,592","24,216.22 bil","98,091,159","3,171.09 bil","85,965,614","2,954.13 bil"
4/14/2025,1241.44,+18.98(+1.55%),"1,040,796,710","24,221.54 bil","110,620,017","3,404.76 bil","111,786,288","3,529.07 bil"
4/11/2025,1222.46,+54.12(+4.63%),"1,734,906,206","38,161.30 bil","184,783,803","5,516.49 bil","153,301,166","4,545.39 bil"
4/10/2025,1168.34,+74.04(+6.77%),"369,956,058","6,305.93 bil","18,972,340",552.54 bil,"40,174,415","1,407.87 bil"
4/9/2025,1094.3,-38.49(-3.40%),"1,602,499,376","32,402.05 bil","169,072,028","4,729.73 bil","158,137,571","4,475.91 bil"
4/8/2025,1132.79,-77.88(-6.43%),"1,164,342,848","25,303.60 bil","82,149,456","2,616.05 bil","137,983,545","4,339.07 bil"
4/4/2025,1210.67,-19.17(-1.56%),"1,985,022,240","42,210.64 bil","145,923,257","4,290.26 bil","229,566,759","7,109.26 bil"
4/3/2025,1229.84,-87.99(-6.68%),"1,763,077,400","39,630.15 bil","65,698,308","2,039.66 bil","198,638,382","5,734.34 bil"
4/2/2025,1317.83,+0.50(+0.04%),"849,307,834","19,296.71 bil","66,044,032","1,957.07 bil","81,823,582","2,665.49 bil"
4/1/2025,1317.33,+10.47(+0.80%),"620,033,587","15,025.64 bil","52,789,640","1,876.93 bil","64,539,449","2,316.52 bil"
3/31/2025,1306.86,-10.60(-0.80%),"867,812,434","21,205.64 bil","53,798,688","1,684.46 bil","89,320,381","2,966.36 bil"
3/28/2025,1317.46,-6.35(-0.48%),"739,652,036","17,084.16 bil","62,460,716","1,650.07 bil","62,678,442","2,056.68 bil"
3/27/2025,1323.81,-2.28(-0.17%),"672,325,049","16,083.15 bil","40,591,786","1,378.75 bil","41,364,189","1,442.49 bil"
3/26/2025,1326.09,-5.83(-0.44%),"834,631,560","18,789.04 bil","45,794,461","1,289.74 bil","53,453,407","1,802.27 bil"
3/25/2025,1331.92,+1.60(+0.12%),"1,017,924,219","22,396.96 bil","67,186,095","1,751.57 bil","68,325,918","2,148.25 bil"
3/24/2025,1330.32,+8.44(+0.64%),"926,622,180","19,583.67 bil","55,369,615","1,615.31 bil","85,268,886","2,335.78 bil"
3/21/2025,1321.88,-2.05(-0.15%),"805,377,519","16,960.72 bil","84,962,289","2,701.96 bil","135,444,906","3,653.35 bil"
3/20/2025,1323.93,-0.70(-0.05%),"918,932,978","19,674.62 bil","67,765,018","1,905.63 bil","96,761,593","3,314.81 bil"
3/19/2025,1324.63,-6.34(-0.48%),"949,333,600","23,455.44 bil","70,411,951","2,322.35 bil","88,499,930","3,727.96 bil"
3/18/2025,1330.97,-5.29(-0.40%),"903,370,731","19,697.88 bil","62,962,966","1,861.51 bil","60,959,886","2,294.32 bil"
3/17/2025,1336.26,+10.11(+0.76%),"971,316,343","20,674.91 bil","65,441,999","1,941.25 bil","48,772,000","1,737.13 bil"
3/14/2025,1326.15,-0.12(-0.01%),"1,023,002,500","23,043.57 bil","109,020,574","2,724.43 bil","76,904,163","2,950.41 bil"
3/13/2025,1326.27,-8.14(-0.61%),"1,068,722,034","24,495.12 bil","73,726,149","2,520.36 bil","75,334,743","2,367.83 bil"
3/12/2025,1334.41,+1.87(+0.14%),"942,052,737","21,937.24 bil","57,927,056","1,755.22 bil","73,319,524","2,591.67 bil"
3/11/2025,1332.54,+2.26(+0.17%),"933,335,588","21,388.33 bil","62,588,952","1,955.25 bil","66,381,013","2,172.55 bil"
3/10/2025,1330.28,+4.23(+0.32%),"1,022,531,601","22,775.33 bil","57,212,309","1,848.47 bil","61,695,385","2,424.13 bil"
3/7/2025,1326.05,+7.83(+0.59%),"957,522,914","20,794.81 bil","63,285,683","2,067.60 bil","62,280,466","2,215.27 bil"
3/6/2025,1318.22,+13.51(+1.04%),"1,064,495,152","22,465.70 bil","91,407,067","2,846.95 bil","73,875,492","2,415.61 bil"
3/5/2025,1304.71,-7.20(-0.55%),"979,928,986","22,215.70 bil","178,736,771","4,378.89 bil","192,579,462","4,730.51 bil"
3/4/2025,1311.91,+2.54(+0.19%),"1,059,732,318","23,192.15 bil","62,039,189","2,106.74 bil","89,263,326","2,430.29 bil"
3/3/2025,1309.37,+4.01(+0.31%),"976,076,811","21,131.18 bil","67,991,860","2,066.76 bil","86,878,741","2,449.82 bil"
2/28/2025,1305.36,-2.44(-0.19%),"814,810,599","18,661.94 bil","53,630,374","1,831.51 bil","85,184,017","2,817.20 bil"
2/27/2025,1307.8,+4.84(+0.37%),"892,978,700","18,734.02 bil","41,955,432","1,385.88 bil","59,405,729","2,024.90 bil"
2/26/2025,1302.96,-0.20(-0.02%),"758,267,415","16,676.98 bil","45,343,454","1,716.70 bil","63,329,898","2,012.18 bil"
2/25/2025,1303.16,-1.40(-0.11%),"885,781,326","19,568.39 bil","53,440,436","1,839.04 bil","59,796,235","2,178.64 bil"
2/24/2025,1304.56,+7.81(+0.60%),"892,357,206","21,097.28 bil","53,744,612","1,873.70 bil","56,583,885","2,132.59 bil"
2/21/2025,1296.75,+3.77(+0.29%),"740,533,654","15,936.88 bil","48,172,914","1,313.90 bil","44,368,250","1,506.29 bil"
2/20/2025,1292.98,+4.42(+0.34%),"770,753,400","16,293.52 bil","54,112,374","1,367.63 bil","56,671,716","1,757.94 bil"
2/19/2025,1288.56,+10.42(+0.82%),"814,560,000","17,496.40 bil","74,233,545","1,979.03 bil","52,410,977","1,625.38 bil"
2/18/2025,1278.14,+5.42(+0.43%),"706,786,311","14,265.13 bil","52,176,973","1,365.58 bil","48,407,339","1,507.64 bil"
2/17/2025,1272.72,-3.36(-0.26%),"852,785,091","17,666.84 bil","53,026,289","1,195.51 bil","55,965,697","1,795.76 bil"
2/14/2025,1276.08,+5.73(+0.45%),"650,490,757","14,859.93 bil","58,905,960","1,531.02 bil","49,887,608","1,710.32 bil"
2/13/2025,1270.35,+3.44(+0.27%),"512,022,462","11,741.26 bil","39,429,560","1,095.01 bil","42,843,818","1,327.70 bil"
2/12/2025,1266.91,-1.54(-0.12%),"506,158,689","11,299.86 bil","30,682,174",945.67 bil,"46,735,533","1,354.56 bil"
2/11/2025,1268.45,+5.19(+0.41%),"628,718,950","14,210.52 bil","48,619,666","1,480.22 bil","65,157,997","2,061.41 bil"
2/10/2025,1263.26,-11.94(-0.94%),"794,937,560","18,878.21 bil","56,837,173","1,718.03 bil","65,373,578","2,159.99 bil"
2/7/2025,1275.2,+3.72(+0.29%),"619,048,495","14,693.35 bil","60,698,193","1,710.68 bil","64,536,353","2,820.93 bil"
2/6/2025,1271.48,+1.87(+0.15%),"568,691,544","12,921.55 bil","44,476,458","1,226.01 bil","53,121,707","1,570.89 bil"
2/5/2025,1269.61,+4.93(+0.39%),"587,298,702","13,343.59 bil","51,166,672","1,766.68 bil","66,908,325","2,132.48 bil"
2/4/2025,1264.68,+11.65(+0.93%),"660,339,392","15,325.38 bil","47,361,439","1,422.51 bil","66,508,007","2,377.80 bil"
2/3/2025,1253.03,-12.02(-0.95%),"547,002,900","13,963.77 bil","51,445,155","1,719.98 bil","87,682,614","3,182.42 bil"
1/24/2025,1265.05,+5.42(+0.43%),"536,199,693","12,209.03 bil","75,046,516","2,267.64 bil","51,827,448","1,634.75 bil"
1/23/2025,1259.63,+17.10(+1.38%),"542,464,580","13,243.29 bil","60,043,547","1,641.10 bil","45,712,232","1,493.26 bil"
1/22/2025,1242.53,-3.56(-0.29%),"508,856,937","12,031.96 bil","27,110,793",906.27 bil,"35,614,312","1,155.15 bil"
1/21/2025,1246.09,-3.46(-0.28%),"495,626,989","11,483.42 bil","47,765,545","1,481.46 bil","49,878,896","1,647.16 bil"
1/20/2025,1249.55,+0.44(+0.04%),"440,950,915","9,995.04 bil","31,115,934",802.06 bil,"35,547,620","1,049.68 bil"
1/17/2025,1249.11,+6.75(+0.54%),"432,980,446","10,278.75 bil","59,567,364","1,725.45 bil","67,325,637","2,200.17 bil"
1/16/2025,1242.36,+6.18(+0.50%),"499,935,827","13,317.16 bil","29,772,227",996.13 bil,"116,063,823","4,103.10 bil"
1/15/2025,1236.18,+7.11(+0.58%),"466,696,448","10,390.95 bil","35,188,545",929.69 bil,"41,154,577","1,335.88 bil"
1/14/2025,1229.07,-6.58(-0.53%),"374,576,392","8,528.72 bil","22,893,490",698.05 bil,"41,239,522","1,327.71 bil"
1/13/2025,1235.65,+5.17(+0.42%),"519,699,252","12,119.09 bil","44,134,538","1,371.79 bil","42,820,816","1,444.17 bil"
1/10/2025,1230.48,-15.29(-1.23%),"499,266,400","11,235.11 bil","29,143,742",918.85 bil,"36,987,622","1,141.88 bil"
1/9/2025,1245.77,-5.25(-0.42%),"336,332,868","7,514.61 bil","22,638,657",658.86 bil,"36,398,298","1,098.68 bil"
1/8/2025,1251.02,+4.07(+0.33%),"445,750,575","10,206.13 bil","37,563,630","1,077.06 bil","41,627,133","1,521.76 bil"
1/7/2025,1246.95,+0.60(+0.05%),"560,054,884","13,188.92 bil","37,924,826","1,408.76 bil","45,087,021","1,500.74 bil"
1/6/2025,1246.35,-8.24(-0.66%),"565,150,232","13,698.28 bil","34,690,243","1,278.08 bil","34,505,750","1,166.27 bil"
